var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01
sp75_902_1,3,3,0,1.160505,7.291635,2,2,0,1.160505,2.566736,3,3,0,1.160505,7.291635,2,2,0,1.160505,2.566736,2,2,0,2.566736,7.291635,1,1,0,2.566736,2.566736,1,1,0,1.160505,1.160505,1,1,0,1.160505,1.160505,3,3,0,1.160505,7.291635,2,2,0,1.160505,2.566736,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,7.291635,7.291635,0,0,0,NA,NA,2,2,0,1.160505,2.566736,2,2,0,1.160505,2.566736
sp75_902_2,2,2,0,1.066179,1.19748,2,2,0,1.066179,1.19748,2,2,0,1.066179,1.19748,2,2,0,1.066179,1.19748,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.066179,1.19748,2,2,0,1.066179,1.19748,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.066179,1.19748,2,2,0,1.066179,1.19748,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.19748,1.19748,1,1,0,1.19748,1.19748,1,1,0,1.066179,1.066179,1,1,0,1.066179,1.066179
sp75_902_4,1,1,0,1.002224,1.002224,0,0,0,NA,NA,1,1,0,1.002224,1.002224,0,0,0,NA,NA,1,1,0,1.002224,1.002224,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.002224,1.002224,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.002224,1.002224,0,0,0,NA,NA
sp75_903,4,4,0,1.001116,1.554901,1,1,0,1.414292,1.414292,4,4,0,1.001116,1.554901,1,1,0,1.414292,1.414292,3,3,0,1.306671,1.554901,1,1,0,1.414292,1.414292,1,1,0,1.001116,1.001116,0,0,0,NA,NA,2,2,0,1.306671,1.414292,1,1,0,1.414292,1.414292,1,1,0,1.554901,1.554901,0,0,0,NA,NA,1,1,0,1.001116,1.001116,0,0,0,NA,NA,3,3,0,1.001116,1.554901,0,0,0,NA,NA,1,1,0,1.414292,1.414292,1,1,0,1.414292,1.414292,0,0,0,NA,NA,0,0,0,NA,NA
sp75_904,7,7,0,1.002141,1.136133,4,4,0,1.002141,1.125516,7,7,0,1.002141,1.136133,4,4,0,1.002141,1.125516,7,7,0,1.002141,1.136133,4,4,0,1.002141,1.125516,0,0,0,NA,NA,0,0,0,NA,NA,3,3,0,1.046944,1.125516,3,3,0,1.046944,1.125516,3,3,0,1.046111,1.136133,0,0,0,NA,NA,1,1,0,1.002141,1.002141,1,1,0,1.002141,1.002141,3,3,0,1.002141,1.125516,2,2,0,1.002141,1.125516,2,2,0,1.119058,1.136133,1,1,0,1.119058,1.119058,2,2,0,1.046111,1.046944,1,1,0,1.046944,1.046944
sp75_905,5,0,5,0.2519923,0.9942947,4,0,4,0.4543497,0.9942947,5,0,5,0.2519923,0.9942947,4,0,4,0.4543497,0.9942947,1,0,1,0.2519923,0.2519923,0,0,0,NA,NA,4,0,4,0.4543497,0.9942947,4,0,4,0.4543497,0.9942947,2,0,2,0.2519923,0.6301128,1,0,1,0.6301128,0.6301128,1,0,1,0.4543497,0.4543497,1,0,1,0.4543497,0.4543497,2,0,2,0.993056,0.9942947,2,0,2,0.993056,0.9942947,4,0,4,0.2519923,0.993056,3,0,3,0.4543497,0.993056,1,0,1,0.9942947,0.9942947,1,0,1,0.9942947,0.9942947,0,0,0,NA,NA,0,0,0,NA,NA
sp75_907,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_103,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_104,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1103,1,0,1,0.9544087,0.9544087,0,0,0,NA,NA,1,0,1,0.9544087,0.9544087,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.9544087,0.9544087,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.9544087,0.9544087,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.9544087,0.9544087,0,0,0,NA,NA
