var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,var,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,var,Q_models_p_05,Q_models_coef_pos_05,Q_models_coef_neg_05,Q_models_coef_min_05,Q_models_coef_max_05,Q_models_p_01,Q_models_coef_pos_01,Q_models_coef_neg_01,Q_models_coef_min_01,Q_models_coef_max_01,var,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,var,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,var,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,var,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,var,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,var,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,var,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,var,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01,var,l4_models_p_05,l4_models_coef_pos_05,l4_models_coef_neg_05,l4_models_coef_min_05,l4_models_coef_max_05,l4_models_p_01,l4_models_coef_pos_01,l4_models_coef_neg_01,l4_models_coef_min_01,l4_models_coef_max_01
sp75_1721,20,6,14,2.19E-10,1.023624,18,5,13,2.19E-10,1.023624,sp75_1721,9,3,6,2.19E-10,1.01507,9,3,6,2.19E-10,1.01507,sp75_1721,11,3,8,5.90E-10,1.023624,9,2,7,5.90E-10,1.023624,sp75_1721,3,1,2,0.424834,1.009536,1,0,1,0.7385037,0.7385037,sp75_1721,17,5,12,2.19E-10,1.023624,17,5,12,2.19E-10,1.023624,sp75_1721,5,0,5,5.90E-10,0.8020295,4,0,4,5.90E-10,0.8020295,sp75_1721,8,0,8,2.19E-10,0.8785957,8,0,8,2.19E-10,0.8785957,sp75_1721,7,6,1,0.5025248,1.023624,6,5,1,0.5025248,1.023624,sp75_1721,5,1,4,5.90E-10,1.01507,5,1,4,5.90E-10,1.01507,sp75_1721,4,2,2,2.19E-10,1.023624,4,2,2,2.19E-10,1.023624,sp75_1721,5,3,2,1.36E-08,1.014777,4,2,2,1.36E-08,1.014777,sp75_1721,6,0,6,0.4234035,0.8785957,5,0,5,0.4234035,0.8785957
sp75_1725,4,4,0,1.000151,1.040905,2,2,0,1.000246,1.010496,sp75_1725,3,3,0,1.000246,1.040905,2,2,0,1.000246,1.010496,sp75_1725,1,1,0,1.000151,1.000151,0,0,0,NA,NA,sp75_1725,4,4,0,1.000151,1.040905,2,2,0,1.000246,1.010496,sp75_1725,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1725,2,2,0,1.010496,1.040905,1,1,0,1.010496,1.010496,sp75_1725,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1725,2,2,0,1.000151,1.000246,1,1,0,1.000246,1.000246,sp75_1725,1,1,0,1.040905,1.040905,0,0,0,NA,NA,sp75_1725,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1725,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1725,3,3,0,1.000151,1.010496,2,2,0,1.000246,1.010496
sp75_1726,12,12,0,1.000743,1.468963,5,5,0,1.000743,1.394608,sp75_1726,4,4,0,1.000743,1.175846,1,1,0,1.000743,1.000743,sp75_1726,8,8,0,1.002544,1.468963,4,4,0,1.002544,1.394608,sp75_1726,7,7,0,1.004393,1.468963,2,2,0,1.008617,1.394608,sp75_1726,5,5,0,1.000743,1.169321,3,3,0,1.000743,1.169321,sp75_1726,4,4,0,1.043093,1.394608,2,2,0,1.169321,1.394608,sp75_1726,3,3,0,1.162077,1.468963,0,0,0,NA,NA,sp75_1726,5,5,0,1.000743,1.008617,3,3,0,1.000743,1.008617,sp75_1726,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1726,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1726,2,2,0,1.006367,1.468963,0,0,0,NA,NA,sp75_1726,10,10,0,1.000743,1.394608,5,5,0,1.000743,1.394608
sp75_1727,12,3,9,1.23E-11,2.751391,11,2,9,1.23E-11,2.751391,sp75_1727,3,1,2,0.6541036,1.253046,2,0,2,0.6541036,0.8408084,sp75_1727,9,2,7,1.23E-11,2.751391,9,2,7,1.23E-11,2.751391,sp75_1727,1,1,0,2.751391,2.751391,1,1,0,2.751391,2.751391,sp75_1727,11,2,9,1.23E-11,2.003288,10,1,9,1.23E-11,2.003288,sp75_1727,2,0,2,1.23E-11,2.73E-11,2,0,2,1.23E-11,2.73E-11,sp75_1727,5,3,2,2.23E-10,2.751391,4,2,2,2.23E-10,2.751391,sp75_1727,5,0,5,0.5846674,0.8408084,5,0,5,0.5846674,0.8408084,sp75_1727,3,0,3,2.73E-11,0.6070572,3,0,3,2.73E-11,0.6070572,sp75_1727,4,0,4,1.23E-11,0.6541036,4,0,4,1.23E-11,0.6541036,sp75_1727,5,3,2,0.5846674,2.751391,4,2,2,0.5846674,2.751391,sp75_1727,0,0,0,NA,NA,0,0,0,NA,NA
sp75_1728,14,14,0,1.00484,2.1629,7,7,0,1.010783,2.012323,sp75_1728,4,4,0,1.108686,1.665215,2,2,0,1.587874,1.665215,sp75_1728,10,10,0,1.00484,2.1629,5,5,0,1.010783,2.012323,sp75_1728,2,2,0,1.870726,2.012323,2,2,0,1.870726,2.012323,sp75_1728,12,12,0,1.00484,2.1629,5,5,0,1.010783,1.726246,sp75_1728,3,3,0,1.285251,1.899488,1,1,0,1.870726,1.870726,sp75_1728,9,9,0,1.108686,2.1629,5,5,0,1.585072,2.012323,sp75_1728,2,2,0,1.00484,1.010783,1,1,0,1.010783,1.010783,sp75_1728,2,2,0,1.665215,2.1629,1,1,0,1.665215,1.665215,sp75_1728,4,4,0,1.010783,2.032678,2,2,0,1.010783,1.587874,sp75_1728,3,3,0,1.00484,1.726246,1,1,0,1.726246,1.726246,sp75_1728,5,5,0,1.108686,2.012323,3,3,0,1.585072,2.012323
sp75_1729,8,1,7,0.4977015,1.013389,5,1,4,0.5570969,1.013389,sp75_1729,3,1,2,0.9022928,1.013389,2,1,1,0.9022928,1.013389,sp75_1729,5,0,5,0.4977015,0.9911787,3,0,3,0.5570969,0.9911787,sp75_1729,2,1,1,0.5570969,1.013389,2,1,1,0.5570969,1.013389,sp75_1729,6,0,6,0.4977015,0.9911787,3,0,3,0.6503204,0.9911787,sp75_1729,4,0,4,0.5570969,0.9022928,3,0,3,0.5570969,0.9022928,sp75_1729,2,0,2,0.4977015,0.9451443,0,0,0,NA,NA,sp75_1729,2,1,1,0.9911787,1.013389,2,1,1,0.9911787,1.013389,sp75_1729,3,0,3,0.4977015,0.9911787,1,0,1,0.9911787,0.9911787,sp75_1729,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1729,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1729,5,1,4,0.5570969,1.013389,4,1,3,0.5570969,1.013389
sp75_1730,4,3,1,0.9135609,1.011267,0,0,0,NA,NA,sp75_1730,3,2,1,0.9135609,1.011267,0,0,0,NA,NA,sp75_1730,1,1,0,1.003239,1.003239,0,0,0,NA,NA,sp75_1730,2,2,0,1.007524,1.011267,0,0,0,NA,NA,sp75_1730,2,1,1,0.9135609,1.003239,0,0,0,NA,NA,sp75_1730,1,0,1,0.9135609,0.9135609,0,0,0,NA,NA,sp75_1730,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1730,3,3,0,1.003239,1.011267,0,0,0,NA,NA,sp75_1730,1,0,1,0.9135609,0.9135609,0,0,0,NA,NA,sp75_1730,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1730,2,2,0,1.003239,1.007524,0,0,0,NA,NA,sp75_1730,1,1,0,1.011267,1.011267,0,0,0,NA,NA
sp75_1731,15,4,11,0.9161298,1.021758,5,0,5,0.9161298,0.9879325,sp75_1731,11,2,9,0.9161298,1.001285,4,0,4,0.9161298,0.9879325,sp75_1731,4,2,2,0.9693407,1.021758,1,0,1,0.9693407,0.9693407,sp75_1731,11,0,11,0.9161298,0.9998733,5,0,5,0.9161298,0.9879325,sp75_1731,4,4,0,1.000012,1.021758,0,0,0,NA,NA,sp75_1731,4,0,4,0.9557203,0.9879325,3,0,3,0.9557203,0.9879325,sp75_1731,6,3,3,0.9161298,1.021758,2,0,2,0.9161298,0.9805387,sp75_1731,5,1,4,0.9995225,1.000012,0,0,0,NA,NA,sp75_1731,5,0,5,0.9470324,0.9996345,1,0,1,0.9693407,0.9693407,sp75_1731,4,1,3,0.9161298,1.021758,2,0,2,0.9161298,0.9557203,sp75_1731,3,0,3,0.9805387,0.9998733,2,0,2,0.9805387,0.9879325,sp75_1731,3,3,0,1.000012,1.005769,0,0,0,NA,NA
sp75_1903,6,5,1,0.6176629,4.466944,0,0,0,NA,NA,sp75_1903,2,1,1,0.6176629,1.000271,0,0,0,NA,NA,sp75_1903,4,4,0,1.002432,4.466944,0,0,0,NA,NA,sp75_1903,5,4,1,0.6176629,4.466944,0,0,0,NA,NA,sp75_1903,1,1,0,1.000271,1.000271,0,0,0,NA,NA,sp75_1903,1,1,0,1.236095,1.236095,0,0,0,NA,NA,sp75_1903,2,1,1,0.6176629,4.466944,0,0,0,NA,NA,sp75_1903,3,3,0,1.000271,1.003611,0,0,0,NA,NA,sp75_1903,1,1,0,4.466944,4.466944,0,0,0,NA,NA,sp75_1903,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1903,2,2,0,1.003611,1.236095,0,0,0,NA,NA,sp75_1903,3,2,1,0.6176629,1.002432,0,0,0,NA,NA
sp75_1909,7,6,1,0.9999558,1.067869,2,2,0,1.000254,1.067869,sp75_1909,3,2,1,0.9999558,1.009057,1,1,0,1.000254,1.000254,sp75_1909,4,4,0,1.000371,1.067869,1,1,0,1.067869,1.067869,sp75_1909,1,1,0,1.000254,1.000254,1,1,0,1.000254,1.000254,sp75_1909,6,5,1,0.9999558,1.067869,1,1,0,1.067869,1.067869,sp75_1909,3,3,0,1.008286,1.022687,0,0,0,NA,NA,sp75_1909,1,1,0,1.067869,1.067869,1,1,0,1.067869,1.067869,sp75_1909,3,2,1,0.9999558,1.000371,1,1,0,1.000254,1.000254,sp75_1909,2,2,0,1.000371,1.067869,1,1,0,1.067869,1.067869,sp75_1909,2,2,0,1.009057,1.022687,0,0,0,NA,NA,sp75_1909,1,1,0,1.008286,1.008286,0,0,0,NA,NA,sp75_1909,2,1,1,0.9999558,1.000254,1,1,0,1.000254,1.000254
sp75_1910,4,4,0,1.000073,1.10668,3,3,0,1.000325,1.10668,sp75_1910,1,1,0,1.000073,1.000073,0,0,0,NA,NA,sp75_1910,3,3,0,1.000325,1.10668,3,3,0,1.000325,1.10668,sp75_1910,2,2,0,1.000807,1.10668,2,2,0,1.000807,1.10668,sp75_1910,2,2,0,1.000073,1.000325,1,1,0,1.000325,1.000325,sp75_1910,1,1,0,1.10668,1.10668,1,1,0,1.10668,1.10668,sp75_1910,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1910,3,3,0,1.000073,1.000807,2,2,0,1.000325,1.000807,sp75_1910,1,1,0,1.10668,1.10668,1,1,0,1.10668,1.10668,sp75_1910,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1910,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1910,3,3,0,1.000073,1.000807,2,2,0,1.000325,1.000807
sp75_1911,2,0,2,0.8870254,0.8960599,1,0,1,0.8960599,0.8960599,sp75_1911,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1911,2,0,2,0.8870254,0.8960599,1,0,1,0.8960599,0.8960599,sp75_1911,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1911,2,0,2,0.8870254,0.8960599,1,0,1,0.8960599,0.8960599,sp75_1911,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1911,2,0,2,0.8870254,0.8960599,1,0,1,0.8960599,0.8960599,sp75_1911,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1911,1,0,1,0.8870254,0.8870254,0,0,0,NA,NA,sp75_1911,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1911,1,0,1,0.8960599,0.8960599,1,0,1,0.8960599,0.8960599,sp75_1911,0,0,0,NA,NA,0,0,0,NA,NA
sp75_1912,4,4,0,1.006929,2.217417,1,1,0,1.006929,1.006929,sp75_1912,1,1,0,1.006929,1.006929,1,1,0,1.006929,1.006929,sp75_1912,3,3,0,1.638329,2.217417,0,0,0,NA,NA,sp75_1912,2,2,0,1.006929,2.217417,1,1,0,1.006929,1.006929,sp75_1912,2,2,0,1.638329,2.021025,0,0,0,NA,NA,sp75_1912,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1912,3,3,0,1.638329,2.217417,0,0,0,NA,NA,sp75_1912,1,1,0,1.006929,1.006929,1,1,0,1.006929,1.006929,sp75_1912,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1912,1,1,0,2.021025,2.021025,0,0,0,NA,NA,sp75_1912,2,2,0,1.638329,2.217417,0,0,0,NA,NA,sp75_1912,1,1,0,1.006929,1.006929,1,1,0,1.006929,1.006929
sp75_1913,8,7,1,0.9933217,1.616077,5,5,0,1.041145,1.616077,sp75_1913,6,5,1,0.9933217,1.316644,3,3,0,1.041145,1.2215,sp75_1913,2,2,0,1.198394,1.616077,2,2,0,1.198394,1.616077,sp75_1913,2,1,1,0.9933217,1.316644,0,0,0,NA,NA,sp75_1913,6,6,0,1.000929,1.616077,5,5,0,1.041145,1.616077,sp75_1913,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1913,6,6,0,1.041145,1.616077,5,5,0,1.041145,1.616077,sp75_1913,2,1,1,0.9933217,1.000929,0,0,0,NA,NA,sp75_1913,2,2,0,1.2215,1.616077,2,2,0,1.2215,1.616077,sp75_1913,1,1,0,1.170658,1.170658,1,1,0,1.170658,1.170658,sp75_1913,3,2,1,0.9933217,1.198394,2,2,0,1.041145,1.198394,sp75_1913,2,2,0,1.000929,1.316644,0,0,0,NA,NA
sp75_1914,3,1,2,0.9993758,1.026404,1,0,1,0.9993758,0.9993758,sp75_1914,2,1,1,0.9993758,1.026404,1,0,1,0.9993758,0.9993758,sp75_1914,1,0,1,0.9996242,0.9996242,0,0,0,NA,NA,sp75_1914,2,0,2,0.9993758,0.9996242,1,0,1,0.9993758,0.9993758,sp75_1914,1,1,0,1.026404,1.026404,0,0,0,NA,NA,sp75_1914,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1914,1,1,0,1.026404,1.026404,0,0,0,NA,NA,sp75_1914,2,0,2,0.9993758,0.9996242,1,0,1,0.9993758,0.9993758,sp75_1914,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1914,1,1,0,1.026404,1.026404,0,0,0,NA,NA,sp75_1914,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1914,2,0,2,0.9993758,0.9996242,1,0,1,0.9993758,0.9993758
sp75_1915,3,2,1,0.6178446,1.484681,1,0,1,0.6178446,0.6178446,sp75_1915,1,0,1,0.6178446,0.6178446,1,0,1,0.6178446,0.6178446,sp75_1915,2,2,0,1.002659,1.484681,0,0,0,NA,NA,sp75_1915,1,0,1,0.6178446,0.6178446,1,0,1,0.6178446,0.6178446,sp75_1915,2,2,0,1.002659,1.484681,0,0,0,NA,NA,sp75_1915,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1915,2,1,1,0.6178446,1.484681,1,0,1,0.6178446,0.6178446,sp75_1915,1,1,0,1.002659,1.002659,0,0,0,NA,NA,sp75_1915,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1915,1,1,0,1.484681,1.484681,0,0,0,NA,NA,sp75_1915,1,1,0,1.002659,1.002659,0,0,0,NA,NA,sp75_1915,1,0,1,0.6178446,0.6178446,1,0,1,0.6178446,0.6178446
sp75_202,6,6,0,1.000457,1.028936,2,2,0,1.000457,1.02868,sp75_202,6,6,0,1.000457,1.028936,2,2,0,1.000457,1.02868,sp75_202,0,0,0,NA,NA,0,0,0,NA,NA,sp75_202,6,6,0,1.000457,1.028936,2,2,0,1.000457,1.02868,sp75_202,0,0,0,NA,NA,0,0,0,NA,NA,sp75_202,2,2,0,1.02039,1.021703,0,0,0,NA,NA,sp75_202,3,3,0,1.008299,1.028936,1,1,0,1.02868,1.02868,sp75_202,1,1,0,1.000457,1.000457,1,1,0,1.000457,1.000457,sp75_202,3,3,0,1.000457,1.02868,2,2,0,1.000457,1.02868,sp75_202,2,2,0,1.02039,1.028936,0,0,0,NA,NA,sp75_202,1,1,0,1.008299,1.008299,0,0,0,NA,NA,sp75_202,0,0,0,NA,NA,0,0,0,NA,NA
sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA,sp75_208,0,0,0,NA,NA,0,0,0,NA,NA
sp75_211,1,1,0,1.000099,1.000099,0,0,0,NA,NA,sp75_211,1,1,0,1.000099,1.000099,0,0,0,NA,NA,sp75_211,0,0,0,NA,NA,0,0,0,NA,NA,sp75_211,0,0,0,NA,NA,0,0,0,NA,NA,sp75_211,1,1,0,1.000099,1.000099,0,0,0,NA,NA,sp75_211,0,0,0,NA,NA,0,0,0,NA,NA,sp75_211,0,0,0,NA,NA,0,0,0,NA,NA,sp75_211,1,1,0,1.000099,1.000099,0,0,0,NA,NA,sp75_211,0,0,0,NA,NA,0,0,0,NA,NA,sp75_211,0,0,0,NA,NA,0,0,0,NA,NA,sp75_211,0,0,0,NA,NA,0,0,0,NA,NA,sp75_211,1,1,0,1.000099,1.000099,0,0,0,NA,NA
sp75_212,14,2,12,0.6813216,1.002504,8,1,7,0.7297677,1.000395,sp75_212,6,2,4,0.6813216,1.002504,2,1,1,0.8731904,1.000395,sp75_212,8,0,8,0.719826,0.997268,6,0,6,0.7297677,0.997268,sp75_212,10,1,9,0.6813216,1.002504,6,0,6,0.7297677,0.997268,sp75_212,4,1,3,0.940965,1.000395,2,1,1,0.940965,1.000395,sp75_212,9,0,9,0.6813216,0.9496597,6,0,6,0.7297677,0.940965,sp75_212,2,0,2,0.719826,0.8597434,0,0,0,NA,NA,sp75_212,3,2,1,0.997268,1.002504,2,1,1,0.997268,1.000395,sp75_212,2,0,2,0.7773633,0.9496597,1,0,1,0.7773633,0.7773633,sp75_212,4,0,4,0.6813216,0.9434014,1,0,1,0.7297677,0.7297677,sp75_212,5,0,5,0.8192512,0.997268,4,0,4,0.8192512,0.997268,sp75_212,3,2,1,0.8934496,1.002504,2,1,1,0.8934496,1.000395
sp75_214,1,0,1,0.6710314,0.6710314,0,0,0,NA,NA,sp75_214,0,0,0,NA,NA,0,0,0,NA,NA,sp75_214,1,0,1,0.6710314,0.6710314,0,0,0,NA,NA,sp75_214,0,0,0,NA,NA,0,0,0,NA,NA,sp75_214,1,0,1,0.6710314,0.6710314,0,0,0,NA,NA,sp75_214,0,0,0,NA,NA,0,0,0,NA,NA,sp75_214,1,0,1,0.6710314,0.6710314,0,0,0,NA,NA,sp75_214,0,0,0,NA,NA,0,0,0,NA,NA,sp75_214,0,0,0,NA,NA,0,0,0,NA,NA,sp75_214,1,0,1,0.6710314,0.6710314,0,0,0,NA,NA,sp75_214,0,0,0,NA,NA,0,0,0,NA,NA,sp75_214,0,0,0,NA,NA,0,0,0,NA,NA
sp75_312,2,1,1,0.6975505,1.017472,0,0,0,NA,NA,sp75_312,1,1,0,1.017472,1.017472,0,0,0,NA,NA,sp75_312,1,0,1,0.6975505,0.6975505,0,0,0,NA,NA,sp75_312,1,0,1,0.6975505,0.6975505,0,0,0,NA,NA,sp75_312,1,1,0,1.017472,1.017472,0,0,0,NA,NA,sp75_312,1,1,0,1.017472,1.017472,0,0,0,NA,NA,sp75_312,1,0,1,0.6975505,0.6975505,0,0,0,NA,NA,sp75_312,0,0,0,NA,NA,0,0,0,NA,NA,sp75_312,0,0,0,NA,NA,0,0,0,NA,NA,sp75_312,0,0,0,NA,NA,0,0,0,NA,NA,sp75_312,2,1,1,0.6975505,1.017472,0,0,0,NA,NA,sp75_312,0,0,0,NA,NA,0,0,0,NA,NA
sp75_320,10,0,10,0.7754756,0.99984,7,0,7,0.7754756,0.9694016,sp75_320,7,0,7,0.797616,0.99984,4,0,4,0.797616,0.9694016,sp75_320,3,0,3,0.7754756,0.9666267,3,0,3,0.7754756,0.9666267,sp75_320,4,0,4,0.7754756,0.9351185,4,0,4,0.7754756,0.9351185,sp75_320,6,0,6,0.8767019,0.99984,3,0,3,0.8767019,0.9694016,sp75_320,6,0,6,0.797616,0.9926094,4,0,4,0.797616,0.9666267,sp75_320,3,0,3,0.7754756,0.9694016,3,0,3,0.7754756,0.9694016,sp75_320,1,0,1,0.99984,0.99984,0,0,0,NA,NA,sp75_320,2,0,2,0.8208648,0.9590118,1,0,1,0.8208648,0.8208648,sp75_320,1,0,1,0.797616,0.797616,1,0,1,0.797616,0.797616,sp75_320,2,0,2,0.9351185,0.99984,1,0,1,0.9351185,0.9351185,sp75_320,5,0,5,0.7754756,0.9926094,4,0,4,0.7754756,0.9694016
sp75_324,5,0,5,0.8947416,0.9993089,3,0,3,0.8947416,0.9993089,sp75_324,4,0,4,0.8947416,0.9993089,3,0,3,0.8947416,0.9993089,sp75_324,1,0,1,0.9981536,0.9981536,0,0,0,NA,NA,sp75_324,2,0,2,0.8947416,0.9969612,2,0,2,0.8947416,0.9969612,sp75_324,3,0,3,0.972381,0.9993089,1,0,1,0.9993089,0.9993089,sp75_324,1,0,1,0.972381,0.972381,0,0,0,NA,NA,sp75_324,1,0,1,0.8947416,0.8947416,1,0,1,0.8947416,0.8947416,sp75_324,3,0,3,0.9969612,0.9993089,2,0,2,0.9969612,0.9993089,sp75_324,0,0,0,NA,NA,0,0,0,NA,NA,sp75_324,0,0,0,NA,NA,0,0,0,NA,NA,sp75_324,1,0,1,0.972381,0.972381,0,0,0,NA,NA,sp75_324,4,0,4,0.8947416,0.9993089,3,0,3,0.8947416,0.9993089
sp75_337,7,3,4,0.664708,1.119721,1,1,0,1.078363,1.078363,sp75_337,3,1,2,0.664708,1.067612,0,0,0,NA,NA,sp75_337,4,2,2,0.787778,1.119721,1,1,0,1.078363,1.078363,sp75_337,4,0,4,0.664708,0.9970013,0,0,0,NA,NA,sp75_337,3,3,0,1.067612,1.119721,1,1,0,1.078363,1.078363,sp75_337,1,0,1,0.787778,0.787778,0,0,0,NA,NA,sp75_337,5,3,2,0.664708,1.119721,1,1,0,1.078363,1.078363,sp75_337,1,0,1,0.9970013,0.9970013,0,0,0,NA,NA,sp75_337,3,2,1,0.664708,1.119721,0,0,0,NA,NA,sp75_337,2,0,2,0.787778,0.9970013,0,0,0,NA,NA,sp75_337,2,1,1,0.8734815,1.078363,1,1,0,1.078363,1.078363,sp75_337,0,0,0,NA,NA,0,0,0,NA,NA
sp75_340,6,4,2,0.9691462,1.143473,2,0,2,0.9691462,0.9903566,sp75_340,2,1,1,0.9903566,1.022682,1,0,1,0.9903566,0.9903566,sp75_340,4,3,1,0.9691462,1.143473,1,0,1,0.9691462,0.9691462,sp75_340,4,4,0,1.000723,1.143473,0,0,0,NA,NA,sp75_340,2,0,2,0.9691462,0.9903566,2,0,2,0.9691462,0.9903566,sp75_340,2,2,0,1.022682,1.027202,0,0,0,NA,NA,sp75_340,3,1,2,0.9691462,1.143473,2,0,2,0.9691462,0.9903566,sp75_340,1,1,0,1.000723,1.000723,0,0,0,NA,NA,sp75_340,1,1,0,1.143473,1.143473,0,0,0,NA,NA,sp75_340,0,0,0,NA,NA,0,0,0,NA,NA,sp75_340,0,0,0,NA,NA,0,0,0,NA,NA,sp75_340,5,3,2,0.9691462,1.027202,2,0,2,0.9691462,0.9903566
sp75_341,2,1,1,0.0612179,2.022629,0,0,0,NA,NA,sp75_341,1,0,1,0.0612179,0.0612179,0,0,0,NA,NA,sp75_341,1,1,0,2.022629,2.022629,0,0,0,NA,NA,sp75_341,2,1,1,0.0612179,2.022629,0,0,0,NA,NA,sp75_341,0,0,0,NA,NA,0,0,0,NA,NA,sp75_341,2,1,1,0.0612179,2.022629,0,0,0,NA,NA,sp75_341,0,0,0,NA,NA,0,0,0,NA,NA,sp75_341,0,0,0,NA,NA,0,0,0,NA,NA,sp75_341,1,0,1,0.0612179,0.0612179,0,0,0,NA,NA,sp75_341,0,0,0,NA,NA,0,0,0,NA,NA,sp75_341,0,0,0,NA,NA,0,0,0,NA,NA,sp75_341,1,1,0,2.022629,2.022629,0,0,0,NA,NA
sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA,sp75_342,0,0,0,NA,NA,0,0,0,NA,NA
